logit_gen_art,iso3,region,year,kp,value,provincial_value,study_idx,logit_kp_art,logit_gen_art2,id.region,idx,lower,median,upper,gen_art
-1.3862943611198906,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,1,-2.9349014314511805,-0.46395149280002546,1.828790594548783,0.2
-1.3249254147435985,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,2,-2.8097652982476107,-0.41064212995031835,1.849795303035851,0.21000000000000002
-1.2656663733312759,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,3,-2.696241173533486,-0.34741508078356587,1.867790969339599,0.22000000000000003
-1.2083112059245342,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,4,-2.5860001374605033,-0.29569235749022516,1.8926549619409694,0.22999999999999998
-1.1526795099383853,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,5,-2.4947057498161382,-0.2404087336015488,1.9087472028067343,0.24000000000000002
-1.0986122886681098,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,6,-2.425326863838839,-0.1822793972773953,1.9151706331874547,0.25
-1.0459685551826876,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,7,-2.350471006262666,-0.11533221204789974,1.9264710915827359,0.26
-0.9946225751440619,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,8,-2.248626967340329,-0.05585945818651934,1.9565349451762764,0.27
-0.9444616088408512,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,9,-2.146710192241522,-0.007553489224588202,1.9816654668864708,0.28
-0.8953840470548412,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,10,-2.0418753084338324,0.03828790846126999,2.0104715037298497,0.29000000000000004
-0.8472978603872034,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,11,-1.939226886113552,0.08322074568129043,2.0351352499040347,0.30000000000000004
-0.8001193001121131,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,12,-1.8354479297464992,0.13474167302297901,2.046154411736842,0.31000000000000005
-0.7537718023763801,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,13,-1.738282649801522,0.18826412033202589,2.0445675217673545,0.32
-0.7081850579244856,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,14,-1.6525791121947873,0.24236256222280161,2.042012687764466,0.33
-0.663294217410264,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,15,-1.578109821209514,0.28820255385836535,2.051150885487317,0.3400000000000001
-0.6190392084062235,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,16,-1.4904274620168816,0.33954165253428226,2.0565830407301617,0.35000000000000003
-0.5753641449035618,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,17,-1.398626720385876,0.3875213104492986,2.061712299442547,0.36
-0.5322168137473082,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,18,-1.2882527687995342,0.42621846620094483,2.0819138234885783,0.37
-0.4895482253187058,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,19,-1.1968678565592163,0.47066177453945873,2.089016647721194,0.38
-0.4473122180436648,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,20,-1.1142417763817876,0.5234568851947403,2.114729013218694,0.39
-0.4054651081081643,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,21,-1.0381683258344687,0.5745718440934575,2.1529129419590523,0.4
-0.3639653772014116,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,22,-0.9572350215015544,0.6228501067796403,2.1704994150008736,0.41000000000000003
-0.32277339226305085,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,23,-0.8864529403501045,0.6614421107185149,2.1750575020450316,0.42000000000000004
-0.28185115214098755,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,24,-0.8038674812341501,0.7080233049983368,2.1782212533547702,0.43000000000000005
-0.2411620568168881,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,25,-0.719060098759818,0.7473086218493312,2.187210548562475,0.44
-0.20067069546215124,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,26,-0.641101671323231,0.7880081341927245,2.212822749758564,0.44999999999999996
-0.16034265007517937,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,27,-0.5657954161390842,0.8306682350007318,2.2128884709639687,0.46
-0.12014431184206321,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,28,-0.48443524502485646,0.8755645036057843,2.2194537819519424,0.47000000000000003
-0.08004270767353637,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,29,-0.41196773642906814,0.9223986677544858,2.2394613169264765,0.48000000000000004
-0.04000533461369925,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,30,-0.34038453187064244,0.972799837984236,2.254439639698849,0.49
0,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,31,-0.26821923501395006,1.0094763728581757,2.2672480968922137,0.5
0.040005334613699206,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,32,-0.19273119651776394,1.0480882560591536,2.285710342073122,0.51
0.08004270767353656,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,33,-0.12095650564455011,1.0940452750248557,2.302236991425366,0.52
0.12014431184206341,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,34,-0.03355464969030014,1.1355823759019879,2.3117090331437757,0.5300000000000001
0.16034265007517948,NA,NA,NA,FSW,NA,NA,NA,NA,NA,NA,35,0.030711666960070858,1.1756036491078785,2.3223036016019183,0.54
