area_id,year,sex,age_group,population
GMB,1998,male,Y025_029,53144.999999999985
GMB,1998,male,Y030_034,44045.99999999998
GMB,1998,male,Y035_039,35014.000000000015
GMB,1998,male,Y040_044,25667.000000000004
GMB,1998,male,Y045_049,18358
GMB,1998,male,Y050_054,15541.99999999999
GMB,1998,male,Y055_059,13753.000000000007
GMB,1998,male,Y060_064,10839.000000000005
GMB,1998,male,Y065_069,8800.000000000007
GMB,1998,male,Y070_074,6626.000000000001
GMB,1998,male,Y075_079,4548.999999999996
GMB,1998,male,Y080_999,4004.9999999999986
GMB,1999,female,Y000_004,129569.00000000004
GMB,1999,female,Y005_009,107487
GMB,1999,female,Y010_014,90705
GMB,1999,female,Y015_019,77096.99999999997
GMB,1999,female,Y020_024,66744.99999999999
GMB,1999,female,Y025_029,58007.000000000015
GMB,1999,female,Y030_034,48650.99999999998
GMB,1999,female,Y035_039,37864.99999999999
GMB,1999,female,Y040_044,26600.999999999978
GMB,1999,female,Y045_049,18285.99999999999
GMB,1999,female,Y050_054,15025.000000000004
GMB,1999,female,Y055_059,13844.000000000011
GMB,1999,female,Y060_064,11361.999999999993
GMB,1999,female,Y065_069,9543.99999999999
GMB,1999,female,Y070_074,7380.999999999996
GMB,1999,female,Y075_079,5234.000000000005
GMB,1999,female,Y080_999,5080.999999999998
GMB,1999,male,Y000_004,132243.9999999999
GMB,1999,male,Y005_009,108496.99999999997
GMB,1999,male,Y010_014,90173.00000000004
GMB,1999,male,Y015_019,74857
GMB,1999,male,Y020_024,62958.99999999997
GMB,1999,male,Y025_029,53144.999999999985
GMB,1999,male,Y030_034,44045.99999999998
GMB,1999,male,Y035_039,35014.000000000015
GMB,1999,male,Y040_044,25667.000000000004
GMB,1999,male,Y045_049,18358
GMB,1999,male,Y050_054,15541.99999999999
GMB,1999,male,Y055_059,13753.000000000007
GMB,1999,male,Y060_064,10839.000000000005
GMB,1999,male,Y065_069,8800.000000000007
GMB,1999,male,Y070_074,6626.000000000001
GMB,1999,male,Y075_079,4548.999999999996
GMB,1999,male,Y080_999,4004.9999999999986
GMB,2000,female,Y000_004,129569.00000000004
GMB,2000,female,Y005_009,107487
GMB,2000,female,Y010_014,90705
GMB,2000,female,Y015_019,77096.99999999997
GMB,2000,female,Y020_024,66744.99999999999
GMB,2000,female,Y025_029,58007.000000000015
GMB,2000,female,Y030_034,48650.99999999998
GMB,2000,female,Y035_039,37864.99999999999
GMB,2000,female,Y040_044,26600.999999999978
GMB,2000,female,Y045_049,18285.99999999999
GMB,2000,female,Y050_054,15025.000000000004
GMB,2000,female,Y055_059,13844.000000000011
GMB,2000,female,Y060_064,11361.999999999993
GMB,2000,female,Y065_069,9543.99999999999
GMB,2000,female,Y070_074,7380.999999999996
GMB,2000,female,Y075_079,5234.000000000005
GMB,2000,female,Y080_999,5080.999999999998
GMB,2000,male,Y000_004,132243.9999999999
GMB,2000,male,Y005_009,108496.99999999997
GMB,2000,male,Y010_014,90173.00000000004
GMB,2000,male,Y015_019,74857
GMB,2000,male,Y020_024,62958.99999999997
GMB,2000,male,Y025_029,53144.999999999985
GMB,2000,male,Y030_034,44045.99999999998
GMB,2000,male,Y035_039,35014.000000000015
GMB,2000,male,Y040_044,25667.000000000004
GMB,2000,male,Y045_049,18358
GMB,2000,male,Y050_054,15541.99999999999
GMB,2000,male,Y055_059,13753.000000000007
GMB,2000,male,Y060_064,10839.000000000005
GMB,2000,male,Y065_069,8800.000000000007
GMB,2000,male,Y070_074,6626.000000000001
GMB,2000,male,Y075_079,4548.999999999996
GMB,2000,male,Y080_999,4004.9999999999986
GMB,2001,female,Y000_004,133250.3772105064
GMB,2001,female,Y005_009,110379.12085970971
GMB,2001,female,Y010_014,93379.55483680066
GMB,2001,female,Y015_019,79571.03880546284
GMB,2001,female,Y020_024,68721.07547125261
GMB,2001,female,Y025_029,59458.516434013836
GMB,2001,female,Y030_034,49944.018688709264
GMB,2001,female,Y035_039,39277.42431329677
GMB,2001,female,Y040_044,28096.037705735085
GMB,2001,female,Y045_049,19361.28168791042
GMB,2001,female,Y050_054,15322.761839930183
GMB,2001,female,Y055_059,13807.60918595173
GMB,2001,female,Y060_064,11602.040930911482
GMB,2001,female,Y065_069,9634.083327033222
GMB,2001,female,Y070_074,7475.5465931456465
GMB,2001,female,Y075_079,5290.180910918266
GMB,2001,female,Y080_999,5137.145392195284
GMB,2001,male,Y000_004,136018.32032303506
GMB,2001,male,Y005_009,111554.18793491095
GMB,2001,male,Y010_014,93010.51309805497
GMB,2001,male,Y015_019,77385.51591361682
GMB,2001,male,Y020_024,64927.23030285153
GMB,2001,male,Y025_029,54572.43316335063
GMB,2001,male,Y030_034,45197.58810832737
GMB,2001,male,Y035_039,36136.309524789685
GMB,2001,male,Y040_044,26898.432171799286
