iso3,year,kp,is_national,population_proportion
CMR,2016,FSW,0,0.03439547786222993
CMR,2016,FSW,0,0.026541772611438474
CMR,2016,FSW,0,0.030557293716361508
CMR,2016,FSW,0,0.005137837109050207
CMR,2016,FSW,0,0.003907738799724137
CMR,2016,FSW,0,0.011368976782787399
CMR,2016,FSW,0,0.009289502161389638
CMR,2016,FSW,0,0.005137837109050207
CMR,2016,FSW,0,0.009271153388286648
CMR,2016,FSW,0,0.03439547786222993
CMR,2016,FSW,0,0.030557293716361508
CMR,2016,FSW,0,0.021321490023248856
CMR,2016,FSW,0,0.026541772611438474
CMR,2016,FSW,0,0.003907738799724137
CMR,2018,FSW,1,0.01158466136827379
CMR,2018,FSW,0,0.009353398057685015
CMR,2018,FSW,0,0.03534298821732779
CMR,2018,FSW,0,0.019647782003355915
CMR,2018,FSW,0,0.011092663893802727
CMR,2018,FSW,0,0.019613662873946135
CMR,2018,FSW,0,0.05396578729092964
CMR,2018,FSW,0,0.022746018128241605
CMR,2018,FSW,0,0.02728007558458756
CMR,2018,FSW,0,0.031973093921496006
CMR,2018,FSW,0,0.030228487290754485
CMR,2018,FSW,0,0.0459090548616441
CMR,2018,FSW,0,0.006238664148708522
CMR,2013,MSM,1,0.005431151960631597
CMR,2013,MSM,0,0.012226629722839874
CMR,2013,MSM,0,0.011012508188300775
CMR,2013,MSM,0,0.022535388186369635
CMR,2013,MSM,0,0.012056032951410956
CMR,2013,MSM,0,0.0115470504583769
CMR,2013,MSM,0,0.009661162986483146
CMR,2013,MSM,0,0.006239220570520348
CMR,2015,MSM,0,0.0022810049015090815
CMR,2015,MSM,0,0.00600075343408602
CMR,2015,MSM,0,0.013328751095167065
CMR,2015,MSM,0,0.003491524385295372
CMR,2015,MSM,0,0.0037069199848965783
CMR,2015,MSM,0,0.010038743168484798
CMR,2015,MSM,0,0.02219567912868955
CMR,2015,MSM,0,0.011663287285595599
CMR,2015,MSM,0,0.011270902676403087
CMR,2015,MSM,0,0.005697825070482018
CMR,2016,MSM,0,0.006227450430077472
CMR,2016,MSM,0,0.006356144963278815
CMR,2016,MSM,0,0.005747921799942729
CMR,2016,MSM,0,0.012849327951976231
CMR,2018,MSM,1,0.0011455812976009525
CMR,2018,MSM,0,0.0021460960727528082
CMR,2018,MSM,0,0.0029866836006507084
CMR,2018,MSM,0,0.0021329964687575942
CMR,2018,MSM,0,0.002387208937845773
CMR,2018,MSM,0,0.004521693682527362
CMR,2018,MSM,0,0.008456080035651759
CMR,2018,MSM,0,0.0032242048734906527
CMR,2018,MSM,0,0.001807587257386932
CMR,2018,MSM,0,0.005479179427421972
CMR,2018,MSM,0,0.00603026367353523
CMR,2018,MSM,0,0.005221894804636752
CMR,2018,MSM,0,0.0017025129244615928
CMR,2018,PWID,0,5.656393332769342e-4
CMR,2018,PWID,0,3.224624905555238e-4
CMR,2018,PWID,0,0.0012412678899638605
CMR,2018,PWID,0,5.112250805454361e-4
CMR,2018,PWID,0,3.1104128271588734e-4
CMR,2018,PWID,0,2.3612683897489557e-4
CMR,2018,PWID,0,7.999840480913654e-4
CMR,2018,PWID,0,4.6779941713149647e-4
CMR,2018,PWID,0,8.464464042809983e-4
CMR,2018,PWID,0,9.057429142551343e-4
CMR,2018,PWID,0,1.281882554113482e-4
CMR,2018,PWID,0,4.647058601404385e-4
CMR,2018,PWID,0,2.1879926509270516e-4
COD,2013,FSW,0,0.04415374310196372
COD,2013,FSW,0,0.0590036416708014
COD,2018,FSW,0,0.018713803364455522
COD,2019,FSW,0,0.009835857173681335
COD,2013,MSM,0,0.015433447396915828
COD,2013,MSM,0,0.014904546035701445
COD,2018,MSM,0,0.010458821328911915
COD,2019,MSM,0,0.007228515753830245
COD,2013,PWID,0,2.3139386667752972e-4
COD,2013,PWID,0,4.8736739133997903e-4
COD,2018,PWID,0,0.004170928826217901
COD,2019,PWID,0,9.312232768969496e-4
COG,2017,FSW,0,0.012766747166129562
COG,2017,FSW,0,0.011560169314342842
COG,2017,FSW,0,0.1173145652977962
COG,2017,FSW,0,0.02282449633656519
COG,2017,FSW,0,0.024874182768442905
COG,2017,MSM,0,0.0022653739585609873
COG,2017,MSM,0,0.0019724102984409616
COG,2017,PWID,0,1.2758501148156683e-4
COG,2017,PWID,0,9.657451102272726e-4
GMB,2018,FSW,0,0.016389568418769297
GMB,2018,MSM,0,0.005031019449108544
KEN,1997,FSW,0,0.006573764833468943
KEN,2004,FSW,0,0.012490898221002413
KEN,2010,FSW,1,0.013373672156817968
KEN,2010,FSW,0,0.005197859844767632
KEN,2010,FSW,0,0.027218833954383244
KEN,2012,FSW,1,0.0121224189596436
KEN,2013,FSW,0,0.02450743844392082
KEN,2019,FSW,1,0.012310574304934119
KEN,2010,MSM,0,0.00932420162940881
KEN,2011,MSM,0,0.008143726960465471
KEN,2011,MSM,0,0.01431057132702243
KEN,2012,MSM,1,0.0016952880125061626
KEN,2013,MSM,0,0.008359928052901141
KEN,2013,MSM,1,0.0011570377289383724
KEN,2013,MSM,0,0.007571027035773539
KEN,2018,MSM,0,0.006502928731039847
KEN,2018,MSM,0,0.0029737425187526707
KEN,2018,MSM,0,8.518776709108131e-5
KEN,2018,MSM,0,5.657000351026794e-4
KEN,2018,MSM,0,0.009115388975732002
KEN,2018,MSM,0,0.0039938067084487605
KEN,2018,MSM,0,0.0078092085833088255
KEN,2018,MSM,0,7.947007118355744e-4
KEN,2018,MSM,0,1.7557159330169569e-4
KEN,2018,MSM,0,0.0013727777899322528
KEN,2018,MSM,0,0.0065777199788159295
KEN,2018,MSM,0,1.2865079666966658e-4
KEN,2018,MSM,0,0.0010168747602079906
KEN,2018,MSM,0,0.008395185441008892
KEN,2018,MSM,0,0.0023084690222400367
KEN,2018,MSM,0,6.055663426793723e-4
KEN,2018,MSM,0,0.003035308984894841
KEN,2018,MSM,0,4.875453602021531e-4
KEN,2018,MSM,0,0.001882532455629214
KEN,2018,MSM,0,9.82741448426527e-4
KEN,2018,MSM,0,0.003474507587223268
KEN,2018,MSM,0,2.1091852894769097e-4
KEN,2018,MSM,0,0.0014840023777715626
KEN,2018,MSM,0,0.004009520517602101
KEN,2018,MSM,0,0.002877848927795108
KEN,2018,MSM,0,0.00136124418024045
KEN,2018,MSM,0,0.0037689754039832426
KEN,2019,MSM,1,0.0024139606847961848
KEN,2010,PWID,0,0.002740960685082485
KEN,2011,PWID,0,0.012313079095368582
KEN,2012,PWID,1,8.669427727735282e-4
KEN,2013,PWID,0,0.0024192882793316215
KEN,2013,PWID,0,0.0024624686334248176
KEN,2018,PWID,0,1.6407123127920283e-4
KEN,2018,PWID,0,1.254166231740052e-4
KEN,2018,PWID,0,0.0010983229317280366
KEN,2018,PWID,0,0.006457397036915501
KEN,2018,PWID,0,5.243231652584753e-5
KEN,2018,PWID,0,8.152677874852317e-4
KEN,2018,PWID,0,0.004805121784688374
KEN,2018,PWID,0,8.307695883752281e-5
KEN,2018,PWID,0,8.680019640487585e-5
KEN,2018,PWID,0,3.966943187120923e-4
KEN,2018,PWID,0,0.003789597227181879
KEN,2018,PWID,0,0.0016783799516801195
KEN,2018,PWID,0,2.3381049371540798e-4
KEN,2019,PWID,1,5.894606347428127e-4
KEN,2019,PWID,1,5.931447637099553e-4
LSO,2014,FSW,0,0.09265613963848458
LSO,2014,FSW,0,0.011525858855901164
LSO,2014,FSW,0,0.04222850959374553
LSO,2014,FSW,0,0.011376541745491586
LSO,2015,FSW,0,0.039800702070169454
LSO,2016,FSW,1,0.0124998624434513
LSO,2018,FSW,0,0.03823798296549775
LSO,2014,MSM,0,0.15400918788397944
LSO,2014,MSM,0,0.01905013770733041
LSO,2014,MSM,0,0.07959409674866161
LSO,2014,MSM,0,0.01933269244303633
LSO,2015,MSM,0,0.07505071059239997
LSO,2016,MSM,1,0.0202214652593573
LSO,2018,MSM,0,0.03100278824422008
MLI,2014,FSW,1,0.010560453631320963
MLI,2015,FSW,1,0.009346850423836707
MLI,2015,FSW,0,0.0076505343961769225
MLI,2015,FSW,0,0.006094824341347753
MLI,2015,FSW,0,0.005100721101880608
MLI,2015,FSW,0,0.0047685423265666806
MLI,2015,FSW,0,0.006485285527487923
MLI,2015,FSW,0,0.03934539462881359
MLI,2015,FSW,0,0.0055378796801747905
MLI,2015,FSW,0,0.006911182767689842
MLI,2015,FSW,0,0.013181318512363668
MLI,2015,FSW,0,0.0022700315511988835
MLI,2015,FSW,0,0.001959063745731534
MLI,2015,FSW,0,0.0024150398291088657
MLI,2015,FSW,0,0.013048725813606532
MLI,2015,FSW,0,0.002265496232798778
MLI,2019,FSW,0,0.006342595162769166
MLI,2019,FSW,0,0.005278190242106181
MLI,2019,FSW,0,0.0025403826190317346
MLI,2019,FSW,0,0.0020544819466183964
MLI,2019,FSW,0,0.017277368756028165
MLI,2019,FSW,0,0.0019201346147075396
MLI,2019,FSW,0,0.013349517203834182
MLI,2014,MSM,1,0.0062237522255475285
MLI,2015,MSM,1,0.002944314671676343
MLI,2015,MSM,0,0.0026412904289401747
MLI,2015,MSM,0,0.002938663960111244
MLI,2015,MSM,0,0.001498144666697712
MLI,2015,MSM,0,0.0020258921812267936
MLI,2015,MSM,0,0.004529906032988243
MLI,2015,MSM,0,0.03216976713118416
MLI,2015,MSM,0,0.0025840195426298225
MLI,2015,MSM,0,0.002445961255356324
MLI,2015,MSM,0,0.002061277815833538
MLI,2019,MSM,0,0.0014616581871129922
MLI,2019,MSM,0,8.879347270822562e-4
MLI,2019,MSM,0,9.930257689003757e-4
MLI,2019,MSM,0,6.630573739430629e-4
MLI,2019,MSM,0,5.256370764955542e-4
MLI,2019,MSM,0,0.006085729982660498
MLI,2019,MSM,0,7.606133934258751e-4
MLI,2019,MSM,0,0.0028055509706767625
MLI,2015,PWID,1,0.001250200064567624
MLI,2018,PWID,0,0.0017837271870716136
MLI,2019,TG,0,1.7618319896581017e-4
MLI,2019,TG,0,1.7618319896581017e-4
MOZ,2011,FSW,0,0.016540204853172775
MOZ,2011,FSW,0,0.05760191694082054
MOZ,2011,FSW,0,0.042180447408812514
MOZ,2012,FSW,0,0.02385554546236147
MOZ,2012,FSW,0,0.05728150971574058
MOZ,2012,FSW,0,0.04203404878231633
MOZ,2012,FSW,0,0.02308991954167037
MOZ,2019,FSW,1,0.011402435137068307
MOZ,2011,MSM,0,0.012761844437395567
MOZ,2011,MSM,0,0.019789977987884178
MOZ,2011,MSM,0,0.016203062776968456
MOZ,2011,MSM,0,0.013424893512984351
MOZ,2011,MSM,0,0.019789977987884178
MOZ,2011,MSM,0,0.012214510188649028
MOZ,2011,MSM,0,0.018220188618972802
MOZ,2019,MSM,1,0.00668356862307381
MOZ,2014,PWID,0,0.0025855170776503
MOZ,2014,PWID,0,0.0012929576244045272
MOZ,2014,PWID,0,0.002088278993898452
MOZ,2014,PWID,0,7.983781949989051e-4
MOZ,2014,PWID,0,9.723088263468082e-4
MWI,2011,FSW,1,0.005563778971089259
MWI,2014,FSW,1,0.003904726351178014
MWI,2016,FSW,0,0.011630644797440989
