iso3,X,year,kp,value,denominator,provincial_value,ratio,x,region,log_kp_prev,log_gen_prev,log_gen_prev2,logit_kp_prev,logit_gen_prev,logit_gen_prev2,positive,negative
BFA,3,2011,MSM,0.02,148,0.00971334715980581,2.05902246372504,NA,WCA,-3.912023005428146,-4.634254343431303,-4.634254343431303,-3.8918202981106265,-4.624493513990205,-4.624493513990205,3,145
BFA,4,2011,MSM,0.145,55,0.0162341679994106,8.9317789495134,NA,WCA,-1.9310215365615626,-4.120637122082027,-4.120637122082027,-1.774367726516186,-4.104269736222298,-4.104269736222298,8,47
BFA,5,2012,MSM,0.005,210,0.00924251440824905,0.540978328963971,NA,WCA,-5.298317366548036,-4.683941308242173,-4.683941308242173,-5.293304824724492,-4.6746558167819785,-4.6746558167819785,1,209
BFA,6,2012,MSM,0.008,360,0.00924251440824905,0.865565326342354,NA,WCA,-4.8283137373023015,-4.683941308242173,-4.683941308242173,-4.820281565605037,-4.6746558167819785,-4.6746558167819785,3,357
BFA,7,2012,MSM,0.013,150,0.00597417846097733,2.17603141334236,NA,WCA,-4.3428059215206005,-5.1203086866887535,-5.1203086866887535,-4.329720681971945,-5.114316591429227,-5.114316591429227,2,148
BFA,8,2013,MSM,0.036,665,0.00869067828523776,4.14236942370202,NA,WCA,-3.3242363405260273,-4.745504289213714,-4.745504289213714,-3.2875723561544357,-4.7367756267516485,-4.7367756267516485,24,641
BFA,9,2013,MSM,0.027,329,0.0125116710398639,2.1579851255659,NA,WCA,-3.611918412977808,-4.381093387095791,-4.381093387095791,-3.584547216181676,-4.368502786044543,-4.368502786044543,9,320
BFA,10,2013,MSM,0.017,336,0.0145249550942849,1.17039948761624,NA,WCA,-4.074541934925921,-4.231887067864439,-4.231887067864439,-4.05739577609095,-4.2172555928873035,-4.2172555928873035,6,330
BFA,11,2014,MSM,0.04,329,0.0117029466672042,3.41794260347218,NA,WCA,-3.2188758248682006,-4.447914616989997,-4.447914616989997,-3.1780538303479453,-4.436142651834198,-4.436142651834198,13,316
BFA,12,2014,MSM,0.033,336,0.0135860968746986,2.4289536799532,NA,WCA,-3.4112477175156566,-4.298708297758646,-4.298708297758646,-3.377690933986814,-4.285029065342095,-4.285029065342095,11,325
BFA,13,2017,MSM,0.012,421,0.0042925069944251704,2.79556911976727,NA,WCA,-4.422848629194137,-5.450884335741398,-5.450884335741398,-4.410776047959867,-5.446582589489627,-5.446582589489627,5,416
BFA,14,2017,MSM,0.019,592,0.00664083907145187,2.86108423883943,NA,WCA,-3.9633162998156966,-5.014516957294817,-5.014516957294817,-3.9441334803989228,-5.007853969740783,-5.007853969740783,11,581
BFA,15,2017,MSM,0.035,171,0.00664083907145187,5.27041833470421,NA,WCA,-3.3524072174927233,-5.014516957294817,-5.014516957294817,-3.316780039849572,-5.007853969740783,-5.007853969740783,6,165
BFA,16,2002,FSW,0.062,306,0.0289804244061487,2.13937515652275,NA,WCA,-2.7806208939370456,-3.5411346974021938,-3.5411346974021938,-2.716615563961133,-3.511726046749002,-3.511726046749002,19,287
BFA,19,2002,FSW,0.209,326,0.0315866400266839,6.61672149438624,NA,WCA,-1.565421027017326,-3.455021031753309,-3.455021031753309,-1.330963715802843,-3.422924773664444,-3.422924773664444,68,258
BFA,20,2003,FSW,0.257,658,0.0268224973328341,9.58150901502374,NA,WCA,-1.3586791940869172,-3.61851429089101,-3.61851429089101,-1.0616199598225393,-3.591325505686231,-3.591325505686231,169,489
BFA,21,2003,FSW,0.315,273,0.0268224973328341,11.743872917247,NA,WCA,-1.155182640156504,-3.61851429089101,-3.61851429089101,-0.7768461994365923,-3.591325505686231,-3.591325505686231,86,187
BFA,22,2004,FSW,0.36,350,0.0249361714739011,14.436859338122,NA,WCA,-1.0216512475319814,-3.691435859980707,-3.691435859980707,-0.5753641449035618,-3.6661835150086404,-3.6661835150086404,126,224
BFA,23,2004,FSW,0.402,306,0.0249361714739011,16.1211595942362,NA,WCA,-0.9113031903631159,-3.691435859980707,-3.691435859980707,-0.3971386653316105,-3.6661835150086404,-3.6661835150086404,123,183
BFA,24,2005,FSW,0.267,658,0.0233563746960273,11.4315686177707,NA,WCA,-1.3205066205818874,-3.756885325872811,-3.756885325872811,-1.0098970434864019,-3.7332518681164495,-3.7332518681164495,176,482
BFA,25,2005,FSW,0.16,318,0.0254568183513295,6.28515306947791,NA,WCA,-1.8325814637483102,-3.670771660223926,-3.670771660223926,-1.6582280766035322,-3.6449852108020004,-3.6449852108020004,51,267
BFA,26,2006,FSW,0.242,607,0.0220946968573965,10.9528545044956,NA,WCA,-1.4188175528254507,-3.812417660457504,-3.812417660457504,-1.1417456594856852,-3.7900752197695904,-3.7900752197695904,147,460
BFA,27,2006,FSW,0.243,645,0.0220946968573965,10.998114233853,NA,WCA,-1.4146938356415886,-3.812417660457504,-3.812417660457504,-1.1363018100969002,-3.7900752197695904,-3.7900752197695904,157,488
BFA,28,2006,FSW,0.4,603,0.0220946968573965,18.1038917429679,NA,WCA,-0.916290731874155,-3.812417660457504,-3.812417660457504,-0.4054651081081643,-3.7900752197695904,-3.7900752197695904,241,362
BFA,29,2010,FSW,0.077,52,0.00689799821573039,11.1626587296597,NA,WCA,-2.563949857128453,-4.976524023132296,-4.976524023132296,-2.4838238126491685,-4.969602123749988,-4.969602123749988,4,48
BFA,30,2010,FSW,0.362,47,0.00817734897308571,44.2686255889847,NA,WCA,-1.016111067156366,-4.806387267314674,-4.806387267314674,-0.5666940715190188,-4.798176300427762,-4.798176300427762,17,30
BFA,31,2010,FSW,0.204,294,0.0187388742044965,10.8864597613366,NA,WCA,-1.5896352851379207,-3.977155078442973,-3.977155078442973,-1.3614791920001668,-3.958238406883497,-3.958238406883497,60,234
BFA,32,2010,FSW,0.081,37,0.00240170765523281,33.7260031725836,NA,WCA,-2.513306124309698,-6.031575271627057,-6.031575271627057,-2.428836967683248,-6.029170675245816,-6.029170675245816,3,34
BFA,33,2010,FSW,0.18,49,0.0131037659615569,13.7365090713672,NA,WCA,-1.7147984280919266,-4.334855612107465,-4.334855612107465,-1.5163474893680886,-4.321665234345501,-4.321665234345501,9,40
BFA,34,2010,FSW,0.143,49,0.0113828720060044,12.5627346002457,NA,WCA,-1.9449106487222299,-4.475645509013582,-4.475645509013582,-1.7905932883378726,-4.4641973562589685,-4.4641973562589685,7,42
BFA,35,2010,FSW,0.103,454,0.0204240650760505,5.04307049632245,NA,WCA,-2.2730262907525014,-3.891041412794089,-3.891041412794089,-2.1643268738291606,-3.8704058923611266,-3.8704058923611266,47,407
BFA,36,2010,FSW,0.149,285,0.0204240650760505,7.29531557234996,NA,WCA,-1.903808973036678,-3.891041412794089,-3.891041412794089,-1.742465822627915,-3.8704058923611266,-3.8704058923611266,42,243
BFA,37,2010,FSW,0.065,188,0.0204240650760505,3.18252021612582,NA,WCA,-2.7333680090865,-3.891041412794089,-3.891041412794089,-2.66615925939305,-3.8704058923611266,-3.8704058923611266,12,176
BFA,38,2010,FSW,0.095,43,0.0106818490116223,8.89359135264283,NA,WCA,-2.353878387381596,-4.539209332006031,-4.539209332006031,-2.2540580520993854,-4.528470022489297,-4.528470022489297,4,39
BFA,39,2010,FSW,0.118,52,0.00817734897308571,14.4301044737574,NA,WCA,-2.137070654516472,-4.806387267314674,-4.806387267314674,-2.0115074315411263,-4.798176300427762,-4.798176300427762,6,46
BFA,40,2010,FSW,0.115,52,0.00817734897308571,14.0632374108653,NA,WCA,-2.162823150618887,-4.806387267314674,-4.806387267314674,-2.0406555166446796,-4.798176300427762,-4.798176300427762,6,46
BFA,41,2011,FSW,0.383,919,0.0180898479804548,21.1720961068227,NA,WCA,-0.959720289801491,-4.012404383122968,-4.012404383122968,-0.4768340347247418,-3.9941489134209376,-3.9941489134209376,352,567
BFA,42,2011,FSW,0.122,148,0.0197166717881063,6.1876568880958,NA,WCA,-2.1037342342488805,-3.9262907174740858,-3.9262907174740858,-1.9736255489018601,-3.906377078792502,-3.906377078792502,18,130
BFA,43,2011,FSW,0.078,476,0.0127725621667115,6.10684050560251,NA,WCA,-2.551046452292545,-4.360455989539888,-4.360455989539888,-2.4698363968670023,-4.347601156913896,-4.347601156913896,37,439
BFA,44,2011,FSW,0.08,649,0.0197166717881063,4.0574799266202,NA,WCA,-2.5257286443082556,-3.9262907174740858,-3.9262907174740858,-2.4423470353692043,-3.906377078792502,-3.906377078792502,52,597
BFA,45,2011,FSW,0.093,204,0.0197166717881063,4.71682041469598,NA,WCA,-2.375155785828881,-3.9262907174740858,-3.9262907174740858,-2.277542956961881,-3.906377078792502,-3.906377078792502,19,185
BFA,46,2013,FSW,0.301,350,0.0169640202820838,17.7434355179294,NA,WCA,-1.2006450142332614,-4.076660631774905,-4.076660631774905,-0.8425404774849347,-4.059551074221184,-4.059551074221184,105,245
BFA,47,2013,FSW,0.319,339,0.0169640202820838,18.8045047515598,NA,WCA,-1.1425641761972924,-4.076660631774905,-4.076660631774905,-0.7583712033646678,-4.059551074221184,-4.059551074221184,108,231
BFA,48,2013,FSW,0.332,346,0.0169640202820838,19.5708325314039,NA,WCA,-1.1026203100656484,-4.076660631774905,-4.076660631774905,-0.699153204620157,-4.059551074221184,-4.059551074221184,115,231
BFA,49,2013,FSW,0.135,349,0.0184895981696478,7.30140259195106,NA,WCA,-2.0024805005437076,-3.9905469661260247,-3.9905469661260247,-1.85745472849345,-3.9718842986955885,-3.9718842986955885,47,302
BFA,50,2013,FSW,0.085,343,0.0184895981696478,4.59717940974696,NA,WCA,-2.4651040224918206,-3.9905469661260247,-3.9905469661260247,-2.3762728087852047,-3.9718842986955885,-3.9718842986955885,29,314
BFA,51,2013,FSW,0.089,350,0.0184895981696478,4.81351726432329,NA,WCA,-2.419118909249997,-3.9905469661260247,-3.9905469661260247,-2.3259065275278186,-3.9718842986955885,-3.9718842986955885,31,319
BFA,52,2014,FSW,0.327,350,0.0163635493155988,19.9834396372848,NA,WCA,-1.1177951080848836,-4.112699020506742,-4.112699020506742,-0.7217851587474744,-4.09620010962286,-4.09620010962286,114,236
BFA,53,2014,FSW,0.144,349,0.0178351267237151,8.07395440642009,NA,WCA,-1.9379419794061366,-4.026585354857859,-4.026585354857859,-1.7824570765657415,-4.008589265530699,-4.008589265530699,50,299
BFA,54,2011,FSW,0.164,1016,0.0110471044820573,14.8455190467664,NA,WCA,-1.8078888511579385,-4.505586923179153,-4.505586923179153,-1.628762185260503,-4.494478346291064,-4.494478346291064,167,849
BFA,55,2011,FSW,0.24,517,0.0110471044820573,21.7251498245363,NA,WCA,-1.4271163556401458,-4.505586923179153,-4.505586923179153,-1.1526795099383855,-4.494478346291064,-4.494478346291064,124,393
BFA,56,2011,FSW,0.086,499,0.00637414292687089,13.4920099826218,NA,WCA,-2.4534079827286295,-5.055505639819678,-5.055505639819678,-2.3634832752006423,-5.049111095302472,-5.049111095302472,43,456
BFA,58,2014,FSW,0.258,531,0.00999288878392065,25.818359993673,NA,WCA,-1.3547956940605197,-4.605881560562931,-4.605881560562931,-1.056389658245763,-4.595838407730176,-4.595838407730176,137,394
BFA,59,2014,FSW,0.05,457,0.00576586393878058,8.67172734751949,NA,WCA,-2.995732273553991,-5.155800277203452,-5.155800277203452,-2.9444389791664403,-5.150017726497859,-5.150017726497859,23,434
BFA,60,2017,FSW,0.036,2453,0.005061304734746,7.11279045358779,NA,WCA,-3.3242363405260273,-5.28613097620446,-5.28613097620446,-3.2875723561544357,-5.2810568196840295,-5.2810568196840295,88,2365
BFA,61,2017,FSW,0.054,4784,0.00877180867478886,6.15608502214622,NA,WCA,-2.9187712324178627,-4.736212259563939,-4.736212259563939,-2.863258522487604,-4.727401752103671,-4.727401752103671,258,4526
BFA,62,2017,FSW,0.073,2331,0.00877180867478886,8.32211493734582,NA,WCA,-2.617295837833746,-4.736212259563939,-4.736212259563939,-2.541494124417464,-4.727401752103671,-4.727401752103671,170,2161
CIV,61,2012,MSM,0.138,355,0.00995548836361857,13.8617006981103,NA,WCA,-1.9805015938249322,-4.609631285550346,-4.609631285550346,-1.8320015855064884,-4.599625909934988,-4.599625909934988,49,306
CIV,62,2012,MSM,0.188,601,0.0223743330547418,8.4024850948644,NA,WCA,-1.6713133161521878,-3.7998408228747786,-3.7998408228747786,-1.4630583773317287,-3.7772123870238845,-3.7772123870238845,113,488
CIV,63,2012,MSM,0.26,246,0.0223743330547418,11.6204581099189,NA,WCA,-1.3470736479666092,-3.7998408228747786,-3.7998408228747786,-1.0459685551826876,-3.7772123870238845,-3.7772123870238845,64,182
CIV,64,2015,MSM,0.112,1301,0.0180173565628585,6.21622820247005,NA,WCA,-2.1892564076870427,-4.0164197321875985,-4.0164197321875985,-2.0704728716970755,-3.9982380866961327,-3.9982380866961327,146,1155
CIV,65,2015,MSM,0.14,508,0.0180173565628585,7.77028525308756,NA,WCA,-1.9661128563728327,-4.0164197321875985,-4.0164197321875985,-1.8152899666382492,-3.9982380866961327,-3.9982380866961327,71,437
CIV,66,2015,MSM,0.095,793,0.00801684605149338,11.8500466879121,NA,WCA,-2.353878387381596,-4.826210194863165,-4.826210194863165,-2.2540580520993854,-4.81816104111496,-4.81816104111496,75,718
CIV,67,2017,MSM,0.123,365,0.0154633025842455,7.95431631308286,NA,WCA,-2.0955709236097197,-4.169285637404706,-4.169285637404706,-1.9643226369997655,-4.1537015309881085,-4.1537015309881085,45,320
CIV,68,2019,PWID,0.034,851,0.0132918032059856,2.55796745355732,NA,WCA,-3.3813947543659757,-4.32060773404736,-4.32060773404736,-3.3468033095963565,-4.307226804174688,-4.307226804174688,29,822
CIV,69,2011,FSW,0.117,528,0.0142307311781737,8.22164360601849,NA,WCA,-2.145581344184381,-4.2523514853350965,-4.2523514853350965,-2.021151265806204,-4.238018526291524,-4.238018526291524,62,466
CIV,70,2011,FSW,0.287,1096,0.0450219981419676,6.37466153978783,NA,WCA,-1.248273063222516,-3.100604061059599,-3.100604061059599,-0.9099992046546751,-3.0545370875892583,-3.0545370875892583,315,781
CIV,71,2011,FSW,0.334,1000,0.0450219981419676,7.41859565954402,NA,WCA,-1.0966142860054366,-3.100604061059599,-3.100604061059599,-0.6901486775636885,-3.0545370875892583,-3.0545370875892583,334,666
CIV,72,2011,FSW,0.444,568,0.0450219981419676,9.86184572705852,NA,WCA,-0.8119307165499123,-3.100604061059599,-3.100604061059599,-0.22494373181835772,-3.0545370875892583,-3.0545370875892583,252,316
CIV,73,2014,FSW,0.11,453,0.0384576894726348,2.8602862394599202,NA,WCA,-2.2072749131897207,-3.258196616740685,-3.258196616740685,-2.0907410969337694,-3.218979906527852,-3.218979906527852,50,403
CIV,74,2014,FSW,0.183,246,0.0384576894726348,4.75847619837424,NA,WCA,-1.6982691261407161,-3.258196616740685,-3.258196616740685,-1.496152942018582,-3.218979906527852,-3.218979906527852,45,201
CIV,75,2014,FSW,0.024,207,0.0121558585403742,1.97435663801837,NA,WCA,-3.7297014486341915,-4.409944041016179,-4.409944041016179,-3.7054087560651467,-4.397713695778742,-4.397713695778742,5,202
CIV,76,2017,FSW,0.122,1800,0.0327190486229151,3.72871477426016,NA,WCA,-2.1037342342488805,-3.419797843987091,-3.419797843987091,-1.9736255489018601,-3.3865315574296013,-3.3865315574296013,220,1580
CIV,77,2019,FSW,0.155,135,0.0292829166537682,5.29318857928909,NA,WCA,-1.8643301620628905,-3.530750982357938,-3.530750982357938,-1.6959115104379272,-3.50103076293596,-3.50103076293596,21,114
CIV,78,2019,FSW,0.024,212,0.00925586007308269,2.59295190403702,NA,WCA,-3.7297014486341915,-4.682498406633435,-4.682498406633435,-3.7054087560651467,-4.673199444919508,-4.673199444919508,5,207
CIV,79,2019,FSW,0.075,347,0.0292829166537682,2.56122028030117,NA,WCA,-2.5902671654458267,-3.530750982357938,-3.530750982357938,-2.512305623976115,-3.50103076293596,-3.50103076293596,26,321
CIV,80,2011,FSW,0.5,96,0.0450219981419676,11.1056821250659,NA,WCA,-0.6931471805599453,-3.100604061059599,-3.100604061059599,0,-3.0545370875892583,-3.0545370875892583,48,48
CMR,12,2010,MSM,0.286,105,0.027490171210424,10.4037183985072,NA,WCA,-1.2517634681622845,-3.5939267487260143,-3.5939267487260143,-0.9148911515197319,-3.566051651909906,-3.566051651909906,30,75
