logit_gen_prev,logit_fit,se,logit_lower,logit_upper,lower,upper,fit,kp,provincial_value
-4.59511985013459,-1.886168952088796,0.06361932478821754,-2.0108628286737025,-1.7614750755038897,0.1180671042093326,0.14660569325088746,0.1316819004970715,FSW,0.01
-3.8918202981106265,-1.4694481662444259,0.04757222963722306,-1.5626897363333832,-1.3762065961554686,0.17326102610029662,0.20161892807519077,0.18702650447046476,FSW,0.02
-3.4760986898352733,-1.2231237731825517,0.03926246907590783,-1.300078212571331,-1.1461693337937724,0.21415185420403365,0.24118946527114088,0.22738719175932487,FSW,0.03
-3.1780538303479453,-1.0465254976611102,0.034300985413457205,-1.1137554290714864,-0.9792955662507341,0.24717142360936242,0.2730315810716728,0.2598928585911054,FSW,0.04
-2.9444389791664403,-0.908103449631773,0.03129562041855755,-0.9694428656521459,-0.8467640336114002,0.2749915648302806,0.3001121155903171,0.2873880868377059,FSW,0.05
-2.751535313041949,-0.7938036934207537,0.029589649954221208,-0.8517994073310273,-0.7358079795104802,0.2990555270545508,0.3239215025326327,0.31135252676075265,FSW,0.060000000000000005
-2.586689344097943,-0.6961287531709948,0.028792658425907572,-0.7525623636857736,-0.639695142656216,0.32026323113213423,0.34531545606360775,0.33267109121974553,FSW,0.06999999999999999
-2.4423470353692043,-0.6106026922614876,0.028639710033331996,-0.6667365239268183,-0.5544688605961569,0.3392279723889368,0.3648282220237643,0.35192172792802706,FSW,0.08
-2.3136349291806306,-0.5343378775261032,0.028940757532043348,-0.5910617622889082,-0.4776139927632982,0.35639127383422153,0.38281570416322674,0.36950571651135894,FSW,0.09
-2.1972245773362196,-0.4653621286273326,0.029558057499251666,-0.5232959213258659,-0.40742833592879935,0.3720818605839081,0.3995289179584907,0.3857145513373538,FSW,0.09999999999999999
-2.0907410969337694,-0.4022682740883201,0.03039254600027632,-0.4618376642488617,-0.34269888392777853,0.3865499694629531,0.415154035218732,0.40076748486330965,FSW,0.11
-1.9924301646902063,-0.3440168379488664,0.0313737601858303,-0.4055094079130938,-0.282524267984639,0.39998936809391783,0.4298350270861617,0.41483407027638675,FSW,0.12
-1.900958761193047,-0.2898179762576749,0.032452019693482756,-0.3534239348569011,-0.22621201765844873,0.41255237277992723,0.4436869281619541,0.4280484300782165,FSW,0.13
-1.8152899666382492,-0.2390572907340207,0.03359249344765145,-0.30489857789141755,-0.17321600357662387,0.4243604240235925,0.4568039488842784,0.44051867967330055,FSW,0.14
-1.7346010553881062,-0.19124729795310613,0.03477084291915589,-0.25939815007465167,-0.1230964458315606,0.43551166199060204,0.4692646890793324,0.45233337303155263,FSW,0.15000000000000002
-1.6582280766035322,-0.1459945921255632,0.0359701037074445,-0.21649599539215442,-0.07549318885897198,0.44608641662504217,0.4811356612715244,0.46356604304910787,FSW,0.16
-1.5856272637403817,-0.10297697935699801,0.03717848845524834,-0.17584681672928476,-0.03010714198471126,0.4561512289793404,0.4924737830005776,0.47427848094716335,FSW,0.17
-1.5163474893680884,-0.061927156509166914,0.03838785089880995,-0.13716734427083443,0.013313031252500593,0.465761829363025,0.5033282086565157,0.4845231566625914,FSW,0.18000000000000002
-1.4500101755059984,-0.02262080762289198,0.03959261434914379,-0.1002223317472138,0.05498071650142984,0.47496536861847605,0.5137417176703847,0.4943450392296145,FSW,0.19
-1.3862943611198906,0.015132243925743527,0.04078902291978749,-0.06481424099703995,0.095078728848527,0.483802109811053,0.5237517919607119,0.503782988794465,FSW,0.2
-1.3249254147435985,0.05149472345068151,0.04197461619184045,-0.030775524285325775,0.13376497118668879,0.4923067261318128,0.5333914679892412,0.5128708368481689,FSW,0.21000000000000002
-1.2656663733312759,0.08660703688051541,0.04314785868319881,0.0020372338614457475,0.17117683989958507,0.500509308289212,0.5426900206718388,0.5216382356090209,FSW,0.22
-1.2083112059245342,0.12059126218705796,0.04430787696307383,0.03374782333943324,0.20743470103468267,0.5084361551776755,0.5516735190140712,0.530111333836264,FSW,0.23
-1.1526795099383853,0.15355429195508086,0.04545427202468809,0.0644639187866922,0.2426446651234695,0.5161104010554145,0.5603652821256114,0.5383133203286405,FSW,0.24000000000000002
-1.0986122886681098,0.18559033530436342,0.046586984610784414,0.09427984546722597,0.2769008251415009,0.523552518032939,0.5687862567412425,0.5462648652880204,FSW,0.25
-1.0459685551826876,0.2167829301591362,0.04770619805440232,0.12327878197250765,0.31028707834576474,0.530780722455747,0.5769553321527136,0.553984481943476,FSW,0.26
-0.9946225751440619,0.24720657693961423,0.04881226788465455,0.15153453188569133,0.34287862199353714,0.5378113064612992,0.5848896047269078,0.5614888252711794,FSW,0.27
-0.9444616088408512,0.2769280764577523,0.049905670659967254,0.1791129619642165,0.3747431909512881,0.5446589107183424,0.5926046014614763,0.5687929406168346,FSW,0.28
-0.8953840470548412,0.3060076344582313,0.05098696670597553,0.20607317971451927,0.40594208920194336,0.5513367505124899,0.6001144700003341,0.5759104720695118,FSW,0.29000000000000004
-0.8472978603872036,0.3344997804275127,0.05205677297215383,0.2324685054020912,0.43653105545293425,0.5578568045107395,0.6074321409966164,0.5828538382375682,FSW,0.3
-0.8001193001121131,0.3624541373672593,0.0531157432953663,0.2583472805083413,0.46656099422617725,0.5642299734318628,0.6145694675341604,0.5896343814253414,FSW,0.31
-0.7537718023763801,0.38991607108067183,0.05416455411470724,0.28375354501584565,0.496078597145498,0.5704662142684322,0.6215373454065023,0.5962624949548425,FSW,0.32
-0.7081850579244856,0.4169272413813074,0.05520389421828882,0.3087276087134613,0.5251268740491535,0.5765746545080576,0.6283458173384298,0.6027477324149016,FSW,0.33
