iso3,area_id,female_cov,male_cov,logit_female,logit_male,female_hivpop,male_hivpop,male_num,female_num,female_additional,est_male_cov_nat,est_female_cov_nat,est_male_cov_prov,est_female_cov_prov
BEN,BEN_1_10oz,0.9563436244450918,0.6155961698877895,3.0867679558221073,0.47089753927262745,4101.75838261508,1509.391589866017,1129.5598703711,3611.3887665514067,325.51240340768305,0.7951601843153839,0.8883959449439672,0.7483544217119739,0.8804489269426352
BEN,BEN_1_11oz,0.963754800855835,0.6757157667244256,3.2805299711701728,0.7341521297799408,1652.5166122339797,722.1188010139864,576.5620821774164,1466.2316502803499,131.1424525635898,0.7951601843153839,0.8883959449439672,0.7984310633760237,0.8872719580701839
BEN,BEN_1_12ct,0.9654182521422658,0.6865678587103133,3.3292354050337116,0.784122186252705,2802.240613530709,1180.289932196577,963.0306106019106,2490.640982504957,222.38366864882235,0.7951601843153839,0.8883959449439672,0.8159271585157587,0.8888033991366825
BEN,BEN_1_1gz,0.967750454070485,0.6643483472656546,3.4014702952222047,0.6827327569337821,2487.4048473102603,1090.6250704246286,855.6963590817344,2216.15464043604,197.39854339730044,0.7951601843153839,0.8883959449439672,0.7845925994976202,0.8909505193062823
BEN,BEN_1_2ys,0.9640612830738562,0.6451659386952469,3.2893396839663795,0.5978573057524346,763.5185232446626,293.27102759772794,228.30053054498532,677.6640095469567,60.592245170034,0.7951601843153839,0.8883959449439672,0.778462613286639,0.8875541180941401
BEN,BEN_1_3xj,0.9696414549656024,0.6843183068121941,3.463848341498988,0.7736887643316237,10607.317542962903,4003.7184790660153,3315.86919676945,9469.06169733078,841.7885952894644,0.7951601843153839,0.8883959449439672,0.8281973905275611,0.8926914518188189
BEN,BEN_1_4qu,0.9568093312971278,0.6131676807214798,3.0979796660887935,0.4606471240576728,848.0975226613198,332.00195422566253,244.8417325870522,747.0701744911867,67.30436977850017,0.7951601843153839,0.8883959449439672,0.7374707572372682,0.8808776756556127
BEN,BEN_1_5vw,0.9664641570726143,0.6608795129961135,3.361029407690213,0.667216080227199,2374.5552113431154,931.1249667308838,739.8994551156572,2112.79920894228,188.44288272673512,0.7951601843153839,0.8883959449439672,0.7946295949010944,0.8897663018528936
BEN,BEN_1_6yg,0.9587525952232204,0.6743607869207144,3.1460448632607334,0.7279751996947257,2682.2490140056852,1535.844890494372,1179.2588336355086,2367.5319491924797,212.86122722085588,0.7951601843153839,0.8883959449439672,0.767824173478819,0.8826667236450185
BEN,BEN_1_7ra,0.9643957878563608,0.6415416036302392,3.2990378291657274,0.5820614314965846,1063.9957249251095,346.0337177399383,276.1654428124758,944.6814540737888,84.43788573793579,0.7951601843153839,0.8883959449439672,0.7980882458975515,0.8878620768333269
BEN,BEN_1_8fr,0.9685498655783792,0.6712915137918322,3.427396711679419,0.7140321915861675,3525.013357422926,1409.9964598305896,1134.307330263218,3143.2067883391287,279.74235997961785,0.7951601843153839,0.8883959449439672,0.8044753037177871,0.8916864901292376
BEN,BEN_1_9dz,0.9592965015638558,0.5956031155521936,3.159886159537258,0.38717774876180144,2009.1297178611385,599.1047800337295,451.7934183852724,1774.3980017788292,159.4429954701094,0.7951601843153839,0.8883959449439672,0.7541141941144861,0.8831674659950788
BFA,BFA_1_1,0.9799687853435344,0.7350499110218434,3.890228929767497,1.0203969382907785,2502.091597425133,1004.5257785664926,898.551930564646,2238.4258385493586,217.9108438874946,0.7994670040715749,0.891028947827886,0.8945036053200383,0.8946218599082827
BFA,BFA_1_10,0.9782408792973548,0.7084105038041144,3.805722925273048,0.8876767550935397,2819.1240326508764,1097.325055418591,951.286722308599,2517.603042312118,245.52166579778893,0.7994670040715749,0.891028947827886,0.8669142453379198,0.8930444397456211
BFA,BFA_1_11,0.9823737795709228,0.7505335473326584,4.020584276356484,1.1014599021472709,1221.9964939413915,404.21818439599474,383.25519725124286,1095.9077180715894,106.42547518898178,0.7994670040715749,0.891028947827886,0.948139425800262,0.8968173996448067
BFA,BFA_1_12,0.987292438117021,0.7592496139003154,4.35276904530713,1.1485699409840349,267.94114418153174,92.25491300745122,87.7618922004965,241.497412370685,23.33538904045878,0.7994670040715749,0.891028947827886,0.9512977611653937,0.9013076849708048
BFA,BFA_1_13,0.9774026253451484,0.7019750404570019,3.7670649370663742,0.8567206086354715,2497.9243451011016,1156.5934347765674,964.6129273163066,2228.845912739979,217.54791174242192,0.7994670040715749,0.891028947827886,0.8340121068581476,0.8922791905652244
BFA,BFA_1_2,0.9772383323625112,0.6810201811393928,3.7596526882323347,0.7584641032525825,1267.7171798857546,463.5314372380632,390.8639016791548,1130.9675212514685,110.40735709430615,0.7994670040715749,0.891028947827886,0.8432306210083711,0.8921292061005202
BFA,BFA_1_3,0.9732512669979988,0.6391477095310426,3.5941551805023315,0.571666878065444,21095.360695911586,10352.153831098498,7790.8142288188255,18743.003948398487,1837.2260456362956,0.7994670040715749,0.891028947827886,0.7525790628627201,0.888489380133282
BFA,BFA_1_4,0.9804561071610164,0.7217749974588915,3.9153550279871427,0.9532833044623087,2213.9386920541497,759.6862970573054,687.4917531922962,1981.6228879902872,192.81518278434302,0.7994670040715749,0.891028947827886,0.9049679530292181,0.8950667401506435
BFA,BFA_1_5,0.9749809796083077,0.6669984345605567,3.6627816114511504,0.6946405079384543,1875.0060486860589,643.537080792788,538.1570951709347,1668.883726601637,163.2970394784124,0.7994670040715749,0.891028947827886,0.8362487745196698,0.8900684495237412
