iso3,year,age,sex,totpop,hivpop,artpop,infections
BDI,2022,21,male,111899.4375,422.57702,340.15435,12.19135
BDI,2022,22,female,106138.5781,617.47543,507.65034000000003,25.333
BDI,2022,22,male,105942.75,437.37239,351.64568,13.65235
BDI,2022,23,female,100453.9766,654.64879,544.65583,24.09578
BDI,2022,23,male,100166.1016,447.64273,358.04414,14.12564
BDI,2022,24,female,94155.30469,682.69349,574.856,22.22036
BDI,2022,24,male,93775.51562,450.41098,359.20268,13.79006
BDI,2022,25,female,92090.78125,741.88432,632.87231,21.09895
BDI,2022,25,male,91479.57031,464.27367,369.12435,13.85116
BDI,2022,26,female,94841.66406,828.49078,713.75064,20.97967
BDI,2022,26,male,94144.46094,516.02076,413.01978,14.68303
BDI,2022,27,female,93419.25781,893.5624,778.63458,19.8761
BDI,2022,27,male,92622.89062,554.30945,447.3222,14.67398
BDI,2022,28,female,73649.82812,782.97956,690.77487,15.0765
BDI,2022,28,male,72947.05469,488.42688,398.5637,11.59147
BDI,2022,29,female,92414.5,972.50751,858.43715,18.22381
BDI,2022,29,male,91211.30469,583.31018,471.72883,14.40511
BDI,2022,30,female,88483.74219,1023.53217,913.3282,16.68066
BDI,2022,30,male,87400.89062,617.95514,504.82599,13.57505
BDI,2022,31,female,87773.46094,1064.05878,955.09973,15.70695
BDI,2022,31,male,86374.21875,634.51635,518.91475,13.11188
BDI,2022,32,female,86968.82031,1082.38395,975.71563,14.76135
BDI,2022,32,male,85410.85156,639.63403,522.74024,12.63356
BDI,2022,33,female,84945.35156,1082.85012,980.22301,13.69243
BDI,2022,33,male,83324.94531,637.81837,521.31833,12.00043
BDI,2022,34,female,84859.44531,1098.37968,997.57156,13.00234
BDI,2022,34,male,83024.48438,642.58147,524.33023,11.63013
BDI,2022,35,female,83010.41406,1092.79034,996.30756,12.06051
BDI,2022,35,male,81212.82031,638.3065,521.12684,11.01521
BDI,2022,36,female,81704.96094,1104.64549,1012.14788,11.21667
BDI,2022,36,male,79641.9375,642.98502,526.78312,10.40701
BDI,2022,37,female,80659.27344,1133.04611,1044.19051,10.45783
BDI,2022,37,male,78388.25,658.3795,542.73265,9.8561
BDI,2022,38,female,78555.82812,1166.46259,1082.18618,9.62243
BDI,2022,38,male,76055.89062,675.65481,562.11105,9.20147
BDI,2022,39,female,76682.23438,1216.2657,1136.13113,8.87639
BDI,2022,39,male,74052.24219,702.14375,590.31883,8.61873
BDI,2022,40,female,73225.48438,1250.82271,1176.26285,8.00243
BDI,2022,40,male,70516.625,718.57101,610.89827,7.87913
BDI,2022,41,female,71184.57812,1314.65546,1244.05874,7.33484
BDI,2022,41,male,68433.16406,751.26276,645.74459,7.3229
BDI,2022,42,female,63528.71094,1270.80876,1209.45761,6.17081
BDI,2022,42,male,60910.69141,721.18169,626.5134,6.23892
BDI,2022,43,female,59991.64062,1300.36841,1244.01839,5.49426
BDI,2022,43,male,57342.46484,732.0806,642.47874,5.62269
BDI,2022,44,female,55153.29297,1277.90205,1227.74007,4.76479
BDI,2022,44,male,52681.51172,724.78362,642.19657,4.94512
BDI,2022,45,female,51006.96484,1271.28096,1226.52422,4.15562
BDI,2022,45,male,48618.34766,720.13676,644.30861,4.36519
BDI,2022,46,female,47467.60938,1270.24701,1230.43355,3.64618
BDI,2022,46,male,45189.98047,718.6799,649.06043,3.87691
BDI,2022,47,female,44009.48438,1256.94794,1221.84594,3.1878
BDI,2022,47,male,41855.72266,711.79049,648.45462,3.43066
BDI,2022,48,female,40367.74609,1220.73162,1190.2385,2.75812
BDI,2022,48,male,38341.02734,694.79567,638.10243,3.00274
BDI,2022,49,female,37194.89062,1175.89449,1149.40253,2.39844
BDI,2022,49,male,35283.67578,678.6921,627.90192,2.64062
BEN,2022,15,female,146433.75,300.99202,271.22909,18.06398
BEN,2022,15,male,150671.8906,291.41605,121.11151,2.66347
BEN,2022,16,female,143162.9063,320.20853,295.65046,25.01398
BEN,2022,16,male,147400.7813,282.68362,137.46141,3.83808
BEN,2022,17,female,137926.25,348.90925,322.70846,29.1785
BEN,2022,17,male,142196.6563,281.25273,146.39636,5.3307
BEN,2022,18,female,134025.6094,380.50416,353.19241,30.39469
BEN,2022,18,male,138079.5469,283.672,165.48027,7.26961
BEN,2022,19,female,129856.9219,419.18242,391.53581,29.29636
BEN,2022,19,male,133620.5156,278.23152,156.73866,9.36567
BEN,2022,20,female,124787.2891,454.4157,426.18026,27.43636
BEN,2022,20,male,128268.9297,284.11918,162.77687,11.37966
BEN,2022,21,female,120673.4375,499.81968,470.6052,26.14435
BEN,2022,21,male,124041.4609,297.87624,175.68218,13.10468
BEN,2022,22,female,117013.9688,544.21545,514.01406,24.87457
BEN,2022,22,male,120299.2734,311.05577,185.22903,14.22751
BEN,2022,23,female,114134.5078,595.69661,564.20979,23.89975
BEN,2022,23,male,117372.3672,327.86596,195.14619,14.64876
BEN,2022,24,female,110920.7891,634.29335,601.94214,22.92559
BEN,2022,24,male,113954.2813,336.7083,198.19093,14.42192
BEN,2022,25,female,108071.4766,693.76084,660.43233,21.84282
BEN,2022,25,male,110845.3672,356.4577,211.45978,14.0391
BEN,2022,26,female,105356.8984,747.61791,713.44908,20.58567
BEN,2022,26,male,107833.9297,380.35688,227.93556,13.6629
BEN,2022,27,female,103308.9297,798.02549,763.04381,19.49327
BEN,2022,27,male,105594.1641,401.42997,241.33551,13.25041
BEN,2022,28,female,103390.7656,866.25037,829.74819,18.87162
BEN,2022,28,male,105445.8125,429.07485,258.35959,13.00153
BEN,2022,29,female,96215.79688,888.44083,852.65211,17.00306
BEN,2022,29,male,97994.97656,440.085,268.01779,11.78525
BEN,2022,30,female,92981.80469,927.21821,891.10831,15.86481
BEN,2022,30,male,94564.21875,451.31942,274.75232,10.99037
BEN,2022,31,female,90378.14844,978.26239,941.57291,14.82875
BEN,2022,31,male,91713.89062,471.95832,289.2043,10.21902
BEN,2022,32,female,87653.33594,1029.70437,992.53752,13.82461
BEN,2022,32,male,88611.03906,494.79452,306.42769,9.43998
BEN,2022,33,female,84952.72656,1079.48516,1041.95227,12.88783
BEN,2022,33,male,85536.55469,520.7241,326.8424,8.71369
BEN,2022,34,female,82567.85156,1132.47408,1094.51195,12.05347
BEN,2022,34,male,82753.80469,550.59631,350.79928,8.05817
BEN,2022,35,female,79995.29688,1184.26512,1146.2724,11.22673
BEN,2022,35,male,79750.61719,579.37865,376.44739,7.38901
BEN,2022,36,female,77279.92188,1230.68538,1192.82537,10.41344
BEN,2022,36,male,76729.11719,606.56136,401.95224,6.7274
BEN,2022,37,female,74641.69531,1273.42927,1235.74712,9.65708
BEN,2022,37,male,73847.54688,631.75276,426.55217,6.12112
BEN,2022,38,female,72183.92188,1316.88611,1279.33285,8.96958
BEN,2022,38,male,71161.22656,655.18673,450.23616,5.57959
BEN,2022,39,female,69565.41406,1348.89349,1311.71233,8.3049
BEN,2022,39,male,68293.57031,672.06838,469.30892,5.067
BEN,2022,40,female,67184.69531,1374.97571,1338.22018,7.70536
BEN,2022,40,male,65756.13281,687.85354,487.51539,4.60771
BEN,2022,41,female,64495.73438,1388.15355,1352.1143,7.10445
BEN,2022,41,male,62918.49609,696.10281,500.27527,4.15328
BEN,2022,42,female,61406.32812,1380.75045,1345.86322,6.49825
BEN,2022,42,male,59726.13672,694.53539,505.63906,3.71277
BEN,2022,43,female,58315.23047,1354.9977,1321.56701,5.93137
BEN,2022,43,male,56511.34375,685.74909,505.11147,3.30952
BEN,2022,44,female,55451.03906,1321.73048,1289.80797,5.42312
BEN,2022,44,male,53602.03906,675.05218,502.55163,2.95827
BEN,2022,45,female,53446.96484,1291.92211,1261.51788,5.0282
BEN,2022,45,male,51483.57812,665.6783,501.68223,2.67622
BEN,2022,46,female,51326.875,1246.20155,1217.54041,4.64658
BEN,2022,46,male,49308.87109,648.99256,495.01127,2.41213
BEN,2022,47,female,49321.49219,1190.98406,1164.10118,4.29854
BEN,2022,47,male,47213.75781,626.77687,483.18057,2.1736
BEN,2022,48,female,47359.15625,1126.63832,1101.59045,3.97543
BEN,2022,48,male,45229.83984,599.6607,466.577,1.96019
BEN,2022,49,female,45553.9375,1053.20576,1030.04488,3.68505
BEN,2022,49,male,43400.84766,567.71408,445.06458,1.77125
BFA,2022,15,female,271788.5,419.00797,408.23832,9.81565
BFA,2022,15,male,279479.0313,422.28176,214.46232,2.40717
BFA,2022,16,female,262243.625,460.38829,448.22356,13.71872
BFA,2022,16,male,269459.9063,447.83499,256.57234,3.50777
BFA,2022,17,female,250490.3438,508.15146,494.35325,17.76385
BFA,2022,17,male,257331.9531,474.1023,282.5981,5.11153
BFA,2022,18,female,240123.25,535.00212,519.9694,22.08627
BFA,2022,18,male,246433.8281,481.81265,303.24622,7.32842
BFA,2022,19,female,231229.1094,561.6826,545.46863,26.39534
BFA,2022,19,male,237207.125,479.62659,304.22798,9.87531
BFA,2022,20,female,221535.5156,604.84871,587.05417,30.45574
BFA,2022,20,male,227026.125,498.3474,320.57421,12.36023
BFA,2022,21,female,214070.625,651.87442,632.50676,33.97752
BFA,2022,21,male,218931.1563,512.45861,330.21784,14.51705
BFA,2022,22,female,206989.1406,704.33032,683.4728,35.93613
BFA,2022,22,male,211257.2813,533.02062,343.65101,16.03607
BFA,2022,23,female,199279.4219,754.6959,732.66881,35.83953
BFA,2022,23,male,202744.8125,545.47576,351.08663,16.66146
BFA,2022,24,female,192241.8906,809.94356,786.79513,34.47602
BFA,2022,24,male,194866.5313,562.3355,361.92319,16.71823
BFA,2022,25,female,186144.1875,859.95757,835.92413,32.81331
BFA,2022,25,male,187921.9688,567.11197,365.6932,16.63517
BFA,2022,26,female,180145,930.83307,905.38145,31.21089
BFA,2022,26,male,181338.7188,574.65658,371.35415,16.53719
BFA,2022,27,female,173551.5469,981.46161,955.08686,29.38453
BFA,2022,27,male,174110.4219,605.25454,393.88012,16.19112
BFA,2022,28,female,167116.0781,1037.37924,1009.95704,27.60704
BFA,2022,28,male,167294.4844,630.46388,411.66401,15.73108
BFA,2022,29,female,161317.125,1090.71801,1062.31063,25.94762
BFA,2022,29,male,161211.9688,652.40788,427.5485,15.213
BFA,2022,30,female,156595.0781,1135.56191,1106.33874,24.3378
BFA,2022,30,male,156013.5625,664.11351,435.60532,14.66542
BFA,2022,31,female,152102.4375,1180.88609,1150.85673,22.65813
BFA,2022,31,male,151205.5469,676.88784,444.66159,14.06233
BFA,2022,32,female,147527.0625,1215.85872,1185.24436,21.04297
BFA,2022,32,male,146377.6563,682.76027,448.64639,13.39594
BFA,2022,33,female,143320.0938,1253.62737,1222.34794,19.6065
BFA,2022,33,male,141850.8125,691.65621,454.74126,12.71376
BFA,2022,34,female,139779.2656,1287.81812,1255.93064,18.36174
BFA,2022,34,male,137911.3281,698.00965,458.99312,12.05066
BFA,2022,35,female,136403.125,1326.09838,1293.57293,17.15627
BFA,2022,35,male,134504.0469,708.3392,467.46238,11.3996
BFA,2022,36,female,132514.4688,1360.59651,1327.4976,15.90101
BFA,2022,36,male,130500.0469,717.39421,475.43296,10.67549
BFA,2022,37,female,128375.0547,1397.09386,1363.38649,14.705
BFA,2022,37,male,126387.3281,729.68168,485.77905,9.94165
BFA,2022,38,female,123269.125,1427.20817,1393.06029,13.50631
BFA,2022,38,male,121202.5,739.10734,494.53273,9.13787
BFA,2022,39,female,118220.3672,1460.67331,1426.01484,12.40963
BFA,2022,39,male,116131.1719,751.84125,505.83585,8.36466
BFA,2022,40,female,113938.9844,1504.77308,1469.36134,11.45236
BFA,2022,40,male,111700.8672,771.17067,522.01927,7.65519
BFA,2022,41,female,109828.3906,1549.6657,1513.48787,10.55593
BFA,2022,41,male,107326.875,790.50822,538.4861,6.9712
BFA,2022,42,female,105469.2109,1585.30534,1548.57143,9.69426
BFA,2022,42,male,102615.0469,804.49697,551.40994,6.30066
BFA,2022,43,female,101152.9297,1615.45768,1578.28642,8.89359
BFA,2022,43,male,97897.36719,814.66054,561.72474,5.67151
BFA,2022,44,female,96406.52344,1630.36858,1593.09757,8.10785
BFA,2022,44,male,92719.69531,816.19036,566.01254,5.05888
BFA,2022,45,female,91190.10938,1625.33474,1588.43751,7.33452
BFA,2022,45,male,87035.10156,804.19708,562.2513,4.45992
BFA,2022,46,female,86245.77344,1611.71283,1575.33163,6.62804
BFA,2022,46,male,81595.94531,787.56248,555.28407,3.91676
BFA,2022,47,female,82019.35938,1596.01298,1560.16871,6.01168
BFA,2022,47,male,76830.28906,770.42107,547.16137,3.45229
BFA,2022,48,female,77868.82812,1568.45055,1533.38986,5.4292299999999996
BFA,2022,48,male,72145.46094,747.67589,534.37132,3.03594
BFA,2022,49,female,73981.64844,1530.89628,1496.81833,4.89419
BFA,2022,49,male,67785.32812,721.87663,518.74929,2.67329
BWA,2022,15,female,25344.89844,435.2323,377.18698,57.03296
BWA,2022,15,male,25917.29492,392.69617,257.34239,3.85186
BWA,2022,16,female,24877.15039,476.2004,417.98621,79.71802
BWA,2022,16,male,25412.2168,352.73806,255.78552,6.09617
BWA,2022,17,female,24124.54102,616.85192,543.52199,96.89999
BWA,2022,17,male,24621.8457,394.4145,286.07232,10.54479
BWA,2022,18,female,23305.21484,854.59777,771.36979,107.08106
BWA,2022,18,male,23752.35938,527.84601,399.81246,17.52509
BWA,2022,19,female,22909.72656,1068.34877,976.58301,114.47888
BWA,2022,19,male,23328.13086,617.13479,476.39672,26.38743
BWA,2022,20,female,22717.18555,1291.05794,1190.37662,121.7792
BWA,2022,20,male,23122.00586,697.15122,539.97479,35.95426
BWA,2022,21,female,22619.87305,1540.61572,1431.11361,128.72281
BWA,2022,21,male,23015.36328,789.39386,610.71917,44.71406
BWA,2022,22,female,22246.99219,1788.63515,1673.49805,130.24936
BWA,2022,22,male,22635.65039,882.58237,675.72663,51.22744
BWA,2022,23,female,21782.69922,2020.93581,1903.4912,127.07974
BWA,2022,23,male,22165.97656,965.39953,731.4302,55.08553
BWA,2022,24,female,21538.67773,2231.91231,2113.52757,122.40441
BWA,2022,24,male,21925.80078,1024.98136,767.34393,57.69805
BWA,2022,25,female,21324.8125,2452.14252,2334.79635,116.36982
