area_id,year,sex,age_group,population
AGO_1_7nw,2022,female,Y015_039,279821.00984736846
AGO_1_7nw,2022,female,Y015_049,357516.82370926917
AGO_1_7nw,2022,male,Y015_029,194395.31633787914
AGO_1_7nw,2022,male,Y015_039,278409.50810129475
AGO_1_7nw,2022,male,Y015_049,351666.06027023605
AGO_1_8ql,2022,female,Y015_029,151624.90283130956
AGO_1_8ql,2022,female,Y015_039,212008.9297600045
AGO_1_8ql,2022,female,Y015_049,250077.81638427905
AGO_1_8ql,2022,male,Y015_029,132595.56847815472
AGO_1_8ql,2022,male,Y015_039,179258.18855927023
AGO_1_8ql,2022,male,Y015_049,205561.72706074454
AGO_1_9rq,2022,female,Y015_029,170599.24671155168
AGO_1_9rq,2022,female,Y015_039,237079.51450179567
AGO_1_9rq,2022,female,Y015_049,296402.647406115
AGO_1_9rq,2022,male,Y015_029,164897.5277424826
AGO_1_9rq,2022,male,Y015_039,223985.78615409974
AGO_1_9rq,2022,male,Y015_049,272010.7799483959
BDI,2022,female,Y015_029,1595862.974545374
BDI,2022,female,Y015_039,2449949.178518973
BDI,2022,female,Y015_049,2962280.753199333
BDI,2022,male,Y015_029,1593537.7047645051
BDI,2022,male,Y015_039,2426794.9640253107
BDI,2022,male,Y015_049,2917197.1207439485
BDI_1_1,2022,female,Y015_029,52518.56129236455
BDI_1_1,2022,female,Y015_039,81764.9172450134
BDI_1_1,2022,female,Y015_049,98290.92253304123
BDI_1_1,2022,male,Y015_029,59473.45670245513
BDI_1_1,2022,male,Y015_039,92791.32828072432
BDI_1_1,2022,male,Y015_049,110640.19349922486
BDI_1_10,2022,female,Y015_029,117455.65072664831
BDI_1_10,2022,female,Y015_039,182632.63628784724
BDI_1_10,2022,female,Y015_049,220274.33467578873
BDI_1_10,2022,male,Y015_029,110232.35760122299
BDI_1_10,2022,male,Y015_039,169187.68080018507
BDI_1_10,2022,male,Y015_049,204110.86415308373
BDI_1_11,2022,female,Y015_029,77054.17677535283
BDI_1_11,2022,female,Y015_039,118345.57106989074
BDI_1_11,2022,female,Y015_049,142082.24933723794
BDI_1_11,2022,male,Y015_029,77148.2468992628
BDI_1_11,2022,male,Y015_039,117758.1291824699
BDI_1_11,2022,male,Y015_049,141444.59076659675
BDI_1_12,2022,female,Y015_029,51071.461897339446
BDI_1_12,2022,female,Y015_039,78514.17221848865
BDI_1_12,2022,female,Y015_049,95939.62767733466
BDI_1_12,2022,male,Y015_029,46634.978283842764
BDI_1_12,2022,male,Y015_039,69423.72052619656
BDI_1_12,2022,male,Y015_049,83954.36314825335
BDI_1_13,2022,female,Y015_029,150181.80769751154
BDI_1_13,2022,female,Y015_039,229218.35583133818
BDI_1_13,2022,female,Y015_049,275885.47855089937
BDI_1_13,2022,male,Y015_029,144242.92383703415
BDI_1_13,2022,male,Y015_039,217298.80950757314
BDI_1_13,2022,male,Y015_049,260759.2081790833
BDI_1_14,2022,female,Y015_029,51397.158233030976
BDI_1_14,2022,female,Y015_039,79610.26296248898
BDI_1_14,2022,female,Y015_049,97855.71434311349
BDI_1_14,2022,male,Y015_029,45864.81372732319
BDI_1_14,2022,male,Y015_039,68150.49015455082
BDI_1_14,2022,male,Y015_049,82476.40272466409
BDI_1_15,2022,female,Y015_029,118010.29214621827
BDI_1_15,2022,female,Y015_039,181116.98525754033
BDI_1_15,2022,female,Y015_049,219153.36382724173
BDI_1_15,2022,male,Y015_029,114788.7804563117
BDI_1_15,2022,male,Y015_039,175213.3116995792
BDI_1_15,2022,male,Y015_049,212006.45176244018
BDI_1_16,2022,female,Y015_029,74837.70621321621
BDI_1_16,2022,female,Y015_039,115219.51674731013
BDI_1_16,2022,female,Y015_049,139028.57460735168
BDI_1_16,2022,male,Y015_029,78682.56278679392
BDI_1_16,2022,male,Y015_039,118378.0651675945
BDI_1_16,2022,male,Y015_049,142158.89884571166
BDI_1_17,2022,female,Y015_029,75714.42181216303
BDI_1_17,2022,female,Y015_039,115875.89725735632
BDI_1_17,2022,female,Y015_049,139637.12375178104
BDI_1_17,2022,male,Y015_029,72753.74946819595
BDI_1_17,2022,male,Y015_039,109225.16715045249
BDI_1_17,2022,male,Y015_049,130847.95106433207
BDI_1_18,2022,female,Y015_029,82832.02890565826
BDI_1_18,2022,female,Y015_039,127133.02648308218
BDI_1_18,2022,female,Y015_049,153851.10028569648
BDI_1_18,2022,male,Y015_029,81256.85607703912
BDI_1_18,2022,male,Y015_039,122171.81336369117
BDI_1_18,2022,male,Y015_049,146485.34559374533
BDI_1_2,2022,female,Y015_029,129257.46950273379
BDI_1_2,2022,female,Y015_039,202412.828437993
BDI_1_2,2022,female,Y015_049,237377.43300976005
BDI_1_2,2022,male,Y015_029,169768.99572143535
